feedback,category
I noticed that profile update is failing especially on Android devices.,Complaint
I noticed that i really enjoy using this app because it affects daily usage.,Compliment
I noticed that the app crashes when i open it for improved experience.,Complaint
Add export to PDF option. As soon as possible.,Feature Request
Everything works seamlessly especially on Android devices.,Compliment
Add fingerprint authentication which is very frustrating.,Feature Request
The app crashes when I open it. Which is very frustrating.,Complaint
"Great improvement after the update, please resolve this in the next update.",Compliment
Need multilingual support and it should be fixed in the next update.,Feature Request
I noticed that the app freezes frequently especially on Android devices.,Complaint
Please add AI chatbot assistance and it should be fixed for all users.,Feature Request
I noticed that fast and responsive interface which is very frustrating.,Compliment
I noticed that need multilingual support for all users.,Feature Request
The app works perfectly and it should be fixed because it affects daily usage.,Compliment
